datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-10-09 16:50:54-03"	INPA	INPA	162312	"Ceiba insignis"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis		"(Kunth) P.E.Gibbs & Semir"					paratype	10234		"Ferreira, C.A.C."	1991	06	02			"Southern America"	Brasil	Acre	Brasileia	"Estrada velha para Rio Branco, km 31, ramal para Fronteira Brasil-Colômbia. Mata de terra firme, solo argiloso."	0	0	-68.7481	-11.0161	107952												"Árvore de 35m de altura x 80cm de diâmetro, tronco ligeiramente concrecido, a altura de 2m; flores com cálice verde, pétalas vermelha por fora e branca por dentro, estames vermelhos. Ornamental."	INPA0162312
"2014-10-09 16:50:54-03"	INPA	INPA	173939	"Ceiba insignis"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis		"(Kunth) P.E.Gibbs & Semir"					paratype	6838		"Daly, D.C."	1991	06	02			"Southern America"	Brasil	Acre	Brasileia	"Seringal Porongaba, Coloração São José. Primary moist forest on gently undulating terrain."	-68.8	-10.85															"Tree 30m, with large plank buttresses; buds only."	INPA0173939
"2014-10-09 16:50:54-03"	INPA	INPA	223027	"Ceiba insignis"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis		"(Kunth) P.E.Gibbs & Semir"	"Ramos, J.F."	2007	11			32		"Henicka, G.S."	2007	05	04			"Southern America"	Brasil	"Mato Grosso"		"Novo Mundo, Propriedade particular de preservação ambiental, delimitada pelo Parque Estadual Cristalino e pelos Rios Teles Pires e Cristalino. Próximo ao acampamento. Mata decidual sobre solo pedregoso"	-55.914917	-9.580167					291	291									"Árvore ca. 9m alt. Cálice verde. Corola rosa com base branca e vinho. Botões verdes."	INPA0223027
"2014-10-09 16:50:54-03"	INPA	INPA	121976	"Ceiba insignis pubiflora"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis	pubiflora	"(Kunth) P.E.Gibbs & Semir"	"Gisn, P.E."	1990	01			4324		"Kirkbride Jr., J.H."	1981	04	24			"Southern America"	Brasil	"Distrito Federal"	Brasília	"Perto do rio das Salinas"	-47.95	-15.516667					840	840									"Árvore até 16m com diâm. de 50cm ao chão e ca. 1m até 2,5 m de altura, sem folhas maduras, com poucas folhas jovens, pétalas cravas com pintas lineares vermelhas; estames e estigma brancos. Na mata decídua sobre rochas calcareas com"	INPA0121976
"2014-10-09 16:50:54-03"	INPA	INPA	85155	"Ceiba insignis pubiflora"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis	pubiflora	"(Kunth) P.E.Gibbs & Semir"	"Gisn, P.E."	1990	01			1164		"Macêdo, M."	1979	05	07			"Southern America"	Brasil	"Mato Grosso"	Cuiabá	"Universidade Federal do Mato Grosso, Praça próximo ao bloco de Tecnologia."	0	0	-56.0967	-15.5961	74875												"Árvore em cerrado de solo argilo-arenoso adubado.; Cerrado. Solo argilo-arenoso, adubado."	INPA0085155
"2014-10-09 16:50:54-03"	INPA	INPA	92634	"Ceiba lupuna"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	lupuna		"P.E.Gibbs & Semir"	"Carvalho-Sobrinho, J.G. de"	2011	06		paratype	1751		"Coêlho, L.F."	1980	05	13			"Southern America"	Brasil	Acre	"Rio Branco"	"Estrada de Sena Madureira km 22."	0	0	-67.81	-9.97472	178770												"Árvore de 15m de altura; flores vermelhas. Mata, solo argiloso."	INPA0092634
"2014-10-09 16:50:54-03"	INPA	INPA	124040	"Ceiba pentandra"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."	"Nee, M.H."	1984	01	01		29623		"Nee, M.H."	1984	02	22			"Northern America"	Mexico	Veracruz	Medellín	"In pasture on outskirts of town of Los Robles."	-96.116667	18.966667					20	20									"Tree 10m. tall, with spreading branches, the twigs hollow and harboring ants; buttresses present at base of trunk. Leafless but in full flower; flowers with light odor, like that of Parmentiera aculeata, with copious sweet nectar,"	INPA0124040
"2014-10-09 16:50:54-03"	INPA	INPA	150189	"Ceiba pentandra"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."	"Gisn, P.E."	1990	01			398		"Daly, D.C."	1980	10	01			"Southern America"	Brasil	Maranhão		"Road from São Luiz Gonzaga to Santo Antonio, 53 to 35 km from Bacabal."	-44.666667	-4.316667															"Spine tree 18m x 1m diam. Immature fruit green. Capoeira."	INPA0150189
"2014-10-09 16:50:54-03"	INPA	INPA	150189	"Ceiba pentandra"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."						1556		"Nelson, B.W."	1987	05	22			"Southern America"	Brasil	Roraima	"Alto Alegre"	"Estaçao Ecologica de Maracá., Margem do rio Uraricoeira."	0	0	-61.4975	2.89583	327834												"Árvore grossa com arquitetura típica da espécie, embora não ultrapasse 30m de alt. nesta região. Folhas novas, frutos passados. Galhos floríferos acessíveis, poucos metros do chão. Várzea alta e beira do rio, com presença de Ceiba, T"	INPA0150189
"2014-10-09 16:50:54-03"	INPA	INPA	251895	"Ceiba pentandra"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."						26		"Silvia, M.D.S."	2011	09	22			"Southern America"	Brasil	Amazonas	Manaus	"Passeio do Mindu"	-60.012167	-3.090194															"Árvore com aproximadamente 20m de alt. Tronco estriado de cor acizentada. Fruto seco de cor marrom externamente e internamente apresenta o aspecto de algodão."	INPA0251895
