species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,datasetName,dataset
Ceiba pubiflora,-44.075,-19.527778,BRA,NA,1291043178,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.248889,-17.726111,BRA,NA,1291043162,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.249167,-17.726667,BRA,NA,1291043004,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba speciosa,-57.381611,-9.630861,BRA,NA,1889177846,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba speciosa,-55.699972,-10.814444,BRA,NA,1889176235,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba erianthos,-41.353056,-20.648333,BRA,NA,1423921940,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba erianthos,-41.048611,-13.934722,BRA,NA,1275067925,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.199444,-17.690278,BRA,NA,1291043075,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba samauma,-40.330528,-13.640972,BRA,NA,1413715799,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UESB,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,GBIF
Ceiba jasminodora,-42.700278,-16.080556,BRA,NA,1455401396,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,Universidade Federal de Minas Gerais (UFMG),BHCB - Herbário da Universidade Federal de Minas Gerais,GBIF
Ceiba erianthos,-43.234444,-22.970556,BRA,NA,1423916595,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
